EmployeeID,FirstName,LastName,Position,StoreID,HireDate
1,First_1,Last_1,Sales Rep,1,2022-12-24
2,First_2,Last_2,Manager,2,2024-04-13
3,First_3,Last_3,Sales Rep,3,2024-03-27
4,First_4,Last_4,Sales Rep,4,2022-08-25
5,First_5,Last_5,Technician,5,2024-01-07
6,First_6,Last_6,Manager,6,2023-01-17
7,First_7,Last_7,Cashier,7,2023-10-26
8,First_8,Last_8,Technician,8,2022-11-06
9,First_9,Last_9,Technician,9,2022-12-08
10,First_10,Last_10,Cashier,10,2022-04-20
11,First_11,Last_11,Cashier,11,2022-05-28
12,First_12,Last_12,Manager,12,2023-06-18
13,First_13,Last_13,Sales Rep,13,2023-04-22
14,First_14,Last_14,Sales Rep,14,2024-06-20
15,First_15,Last_15,Sales Rep,15,2023-09-17
16,First_16,Last_16,Cashier,16,2024-05-23
17,First_17,Last_17,Cashier,17,2023-09-30
18,First_18,Last_18,Cashier,18,2023-01-31
19,First_19,Last_19,Manager,19,2023-09-25
20,First_20,Last_20,Cashier,20,2022-12-18
21,First_21,Last_21,Sales Rep,21,2024-05-23
22,First_22,Last_22,Sales Rep,22,2022-09-18
23,First_23,Last_23,Cashier,23,2023-01-22
24,First_24,Last_24,Technician,24,2024-06-18
25,First_25,Last_25,Sales Rep,25,2024-05-18
26,First_26,Last_26,Manager,26,2024-05-26
27,First_27,Last_27,Cashier,27,2022-12-03
28,First_28,Last_28,Cashier,28,2023-01-04
29,First_29,Last_29,Cashier,29,2023-05-21
30,First_30,Last_30,Manager,30,2024-07-21
31,First_31,Last_31,Cashier,31,2022-04-14
32,First_32,Last_32,Sales Rep,32,2024-04-26
33,First_33,Last_33,Cashier,33,2024-02-28
34,First_34,Last_34,Technician,34,2022-04-20
35,First_35,Last_35,Sales Rep,35,2023-10-13
36,First_36,Last_36,Cashier,36,2024-04-23
37,First_37,Last_37,Technician,37,2022-12-02
38,First_38,Last_38,Manager,38,2024-06-15
39,First_39,Last_39,Technician,39,2022-05-24
40,First_40,Last_40,Cashier,40,2023-09-22
41,First_41,Last_41,Cashier,41,2023-05-27
42,First_42,Last_42,Cashier,42,2022-08-28
43,First_43,Last_43,Sales Rep,43,2022-05-04
44,First_44,Last_44,Sales Rep,44,2023-10-29
45,First_45,Last_45,Manager,45,2022-10-04
46,First_46,Last_46,Technician,46,2024-06-06
47,First_47,Last_47,Technician,47,2022-03-06
48,First_48,Last_48,Technician,48,2023-04-13
49,First_49,Last_49,Cashier,49,2022-08-22
50,First_50,Last_50,Sales Rep,50,2022-09-18
51,First_51,Last_51,Cashier,51,2023-01-19
52,First_52,Last_52,Cashier,52,2024-01-08
53,First_53,Last_53,Technician,53,2023-12-10
54,First_54,Last_54,Cashier,54,2023-03-04
55,First_55,Last_55,Technician,55,2024-07-25
56,First_56,Last_56,Cashier,56,2022-08-20
57,First_57,Last_57,Technician,57,2024-04-27
58,First_58,Last_58,Sales Rep,58,2024-01-22
59,First_59,Last_59,Manager,59,2022-11-26
60,First_60,Last_60,Manager,60,2024-04-12
61,First_61,Last_61,Manager,61,2024-02-21
62,First_62,Last_62,Technician,62,2023-08-24
63,First_63,Last_63,Cashier,63,2024-06-14
64,First_64,Last_64,Cashier,64,2023-03-13
65,First_65,Last_65,Cashier,65,2023-11-26
66,First_66,Last_66,Manager,66,2023-01-03
67,First_67,Last_67,Manager,67,2023-07-01
68,First_68,Last_68,Manager,68,2023-05-27
69,First_69,Last_69,Cashier,69,2023-06-29
70,First_70,Last_70,Cashier,70,2024-03-28
71,First_71,Last_71,Technician,71,2022-11-18
72,First_72,Last_72,Manager,72,2022-04-27
73,First_73,Last_73,Manager,73,2023-02-24
74,First_74,Last_74,Cashier,74,2024-05-21
75,First_75,Last_75,Cashier,75,2024-05-10
76,First_76,Last_76,Cashier,76,2023-11-13
77,First_77,Last_77,Technician,77,2024-03-06
78,First_78,Last_78,Manager,78,2023-12-18
79,First_79,Last_79,Technician,79,2022-02-11
80,First_80,Last_80,Sales Rep,80,2024-04-16
81,First_81,Last_81,Technician,81,2022-12-04
82,First_82,Last_82,Manager,82,2022-05-19
83,First_83,Last_83,Manager,83,2022-05-26
84,First_84,Last_84,Manager,84,2022-03-14
85,First_85,Last_85,Technician,85,2022-03-11
86,First_86,Last_86,Cashier,86,2023-04-20
87,First_87,Last_87,Manager,87,2024-02-13
88,First_88,Last_88,Sales Rep,88,2023-06-01
89,First_89,Last_89,Technician,89,2023-03-15
90,First_90,Last_90,Sales Rep,90,2023-05-06
91,First_91,Last_91,Sales Rep,91,2023-07-13
92,First_92,Last_92,Cashier,92,2023-01-31
93,First_93,Last_93,Manager,93,2022-02-13
94,First_94,Last_94,Manager,94,2024-04-07
95,First_95,Last_95,Manager,95,2022-05-12
96,First_96,Last_96,Manager,96,2022-03-04
97,First_97,Last_97,Manager,97,2022-05-09
98,First_98,Last_98,Technician,98,2022-07-14
99,First_99,Last_99,Technician,99,2024-06-19
100,First_100,Last_100,Manager,100,2022-04-09
101,First_101,Last_101,Cashier,101,2022-09-06
102,First_102,Last_102,Technician,102,2023-12-25
103,First_103,Last_103,Technician,103,2023-03-02
104,First_104,Last_104,Manager,104,2024-06-29
105,First_105,Last_105,Manager,105,2024-02-23
106,First_106,Last_106,Cashier,106,2023-06-20
107,First_107,Last_107,Technician,107,2022-11-30
108,First_108,Last_108,Manager,108,2022-07-03
109,First_109,Last_109,Manager,109,2023-04-09
110,First_110,Last_110,Technician,110,2023-01-25
111,First_111,Last_111,Technician,111,2022-12-15
112,First_112,Last_112,Cashier,112,2024-01-06
113,First_113,Last_113,Technician,113,2023-03-19
114,First_114,Last_114,Cashier,114,2024-04-16
115,First_115,Last_115,Technician,115,2024-07-18
116,First_116,Last_116,Cashier,116,2023-06-25
117,First_117,Last_117,Technician,117,2024-07-04
118,First_118,Last_118,Manager,118,2023-04-27
119,First_119,Last_119,Manager,119,2023-09-11
120,First_120,Last_120,Cashier,120,2024-04-03
121,First_121,Last_121,Technician,121,2024-02-29
